submission,zindi_id,predpos_full,public_P,TP,FP,FN,TN,precision,recall,lb_auc,lb_f1,lb_blended,note
sub_328_reference_all_t054,UNSCORED,0.5533980582524272,,,,,,,,,,,"OFFLINE-ONLY all-24 reference with fixed threshold 0.54, within-side rank mapping. Selection OOF F1 0.966781214 / composite 0.977367116; Test 570 positives; no public result; not queued."
sub_329_reference_all_t059,UNSCORED,0.5446601941747573,,,,,,,,,,,"OFFLINE-ONLY all-24 reference with fixed threshold 0.59, within-side rank mapping. Selection OOF F1 0.967816092 / composite 0.977988043; Test 561 positives; no public result; not queued."
sub_330_reference_mix90_t058,UNSCORED,0.5446601941747573,,,,,,,,,,,OFFLINE-ONLY fixed 90/10 all-24+nine reference rank blend at threshold 0.58. Selection OOF composite 0.977978305; Test 561 positives; no public result; not queued.
sub_331_reference_mix90_t060,UNSCORED,0.5398058252427184,,,,,,,,,,,"OFFLINE-ONLY fixed 90/10 all-24+nine reference rank blend at threshold 0.60. Selection OOF composite 0.978646532, current offline leader; Test 556 positives; no public result; not queued."
sub_333_reference_all_w04_t057,UNSCORED,0.541747572815534,,,,,,,,,,,OFFLINE-ONLY all-24 prospective reference with positive weight 0.40 and fixed threshold 0.57. Selection OOF composite 0.978000563; Test 558 positives; no public result; not queued.
sub_334_reference_all_w04_t059,UNSCORED,0.5388349514563107,,,,,,,,,,,"OFFLINE-ONLY all-24 prospective reference with positive weight 0.40 and fixed threshold 0.59. Selection OOF composite 0.979338558, current offline leader; Test 555 positives; no public result; not queued."
sub_385_joint_raw_physical_seedavg_weight_sweep_anchor,zvF3sY33,0.554368932038835,,,,,,,,0.921597848,0.896174863,0.906344057,MEASURED PUBLIC RESULT; reconciled from newest-first Zindi display because this file preserves sub_308 decisions exactly and therefore must have the identical 0.896174863 F1. Ranking AUC collapsed by 0.035620820 versus sub_308. Joint raw/physical family closed.
sub_381_joint_raw_physical_seedavg_standalone_rule,JVpUgHkm,0.570873786407767,,,,,,,,0.903569351,0.833333333,0.861427740,MEASURED PUBLIC RESULT; middle of the three reported rows under either order. Standalone joint learner refuted: public delta -0.059164645 versus sub_308.
sub_384_joint_raw_physical_seedavg_weight_sweep_rule,nVeK4zvA,0.589320388349515,,,,,,,,0.907640302,0.847368421,0.871477173,MEASURED PUBLIC RESULT; reconciled from newest-first Zindi display after upload order sub_384 then sub_381 then sub_385. Raw joint lead refuted: public delta -0.049115212 versus sub_308.
sub_387_masked_reconstruction_direct,FT4KqKiQ,0.554368932038835,185.0,157,28,24,124,0.8486486486486486,0.8674033149171271,0.927813317,0.857923497,0.885879425,"MEASURED PUBLIC RESULT reported by user. Reconstruction family decisively refuted: delta -0.034712960 blended, -0.029405351 AUC, and -0.038251366 F1 versus sub_308. Confusion is reconciled from the established 333-row/181-positive public partition and exact F1. Withdraw correlated sub_386; do not upload it."
sub_527_sub308_q15_temporal_monthshape_q080_t005,7r2M71g1,0.5747572815533981,181.0,161,31,20,121,0.8385416666666666,0.8895027624309392,0.921198022,0.863270777,0.886441675,"USER-REPORTED PUBLIC RESULT. Refuted: blended delta -0.034150710, AUC delta -0.036020646, F1 delta -0.032904086 versus sub_308. The q15/lean-transfer ranking is the dominant component; Test ranking Spearman 0.9197 to already-refuted sub_385 (AUC 0.921598). The temporal 5% add-on is not a validated rescue. Close q15/temporal family; do not upload sub_528."
sub_388_cycleavg_softbalanced_k5_full,UNSCORED,0.5893203883495146,,,,,,,,,,,"OFFLINE-ONLY same-calendar raw-radiometry k5 retrieval full fit. Passed prospective transfer, stability, and exact replay gates; superseded by sub_392. No public result; not queued."
sub_389_cycleavg_softbalanced_k5_jackknife_median,UNSCORED,0.5883495145631068,,,,,,,,,,,OFFLINE-ONLY 15-jackknife median of the same-calendar raw-radiometry k5 retrieval. Passed validation but is superseded by sub_393. No public result; not queued.
sub_390_cycleavg_raw75_combined25_full,UNSCORED,0.6135922330097087,,,,,,,,,,,"OFFLINE-ONLY raw/physical retrieval consensus. Transfer evidence passed, but independent feature-only target-prior estimates were representation-dependent; not promoted and not queued."
sub_391_cycleavg_raw75_combined25_jackknife_median,UNSCORED,0.6145631067961165,,,,,,,,,,,OFFLINE-ONLY jackknife hedge for the raw/physical retrieval consensus. Calibration uncertainty prevents promotion; no public result and not queued.
sub_392_monthresidual_metriclock_full,UNSCORED,0.5883495145631068,,,,,,,,,,,OFFLINE-ONLY parent ranking source; superseded for upload by sub_394 because this direct file changes incumbent decisions. No public result and not queued.
sub_393_monthresidual_metriclock_jackknife_median,UNSCORED,0.5893203883495146,,,,,,,,,,,OFFLINE-ONLY jackknife parent ranking source; superseded for upload by sub_395 because this direct file changes incumbent decisions. No public result and not queued.
sub_394_sub308_monthresidual_ranklock_w010,UNSCORED,0.554368932038835,,,,,,,,,,,CURRENT OFFLINE PRIMARY. Preserves all 571 sub_308 decisions and adds only a frozen 10% full month-residual within-side rank complement. Locked report mean AUC gain +0.001224230; grouped-bootstrap q05 +0.000635708; 15/15 checks; no public result and not queued.
sub_395_sub308_monthresidual_jackknife_ranklock_w010,UNSCORED,0.554368932038835,,,,,,,,,,,CURRENT OFFLINE STABILITY HEDGE. Preserves all 571 sub_308 decisions and uses the jackknife-median month-residual rank at fixed 10% weight. Spearman 0.998996 to sub_308; 15/15 checks; no public result and not queued.
